model,object,axis_unsigned_deg,axis_signed_deg,p_rev,radius_m,hinge_offset_frac,z_p
20260913_joint4_decoder_l2anchor_dense_seed7,laptop/laptop,4.687,4.687,0.9479,1.4639,0.0582,0.171
20260913_joint4_decoder_l2anchor_dense_seed7,laptop/laptop,11.594,11.594,0.9515,1.5924,0.0723,0.396
20260913_joint4_decoder_l2anchor_dense_seed7,laptop/laptop,61.869,118.131,0.9415,0.9745,0.1863,1.614
20260913_joint4_decoder_l2anchor_dense_seed7,laptop/laptop,17.801,17.801,0.9495,1.2536,0.0715,0.142
20260913_joint4_decoder_l2anchor_dense_seed7,laptop/laptop,7.990,7.990,0.9512,1.8216,0.1065,0.517
20260913_joint4_decoder_l2anchor_dense_seed7,laptop/laptop,51.495,128.505,0.9473,2.3588,0.2257,0.983
20260913_joint4_decoder_l2anchor_dense_seed7,laptop/laptop,17.780,17.780,0.9483,1.8668,0.0933,0.531
20260913_joint4_decoder_l2anchor_dense_seed7,laptop/laptop,5.918,5.918,0.9494,1.9277,0.0543,0.183
20260913_joint4_decoder_l2anchor_dense_seed7,box/box,43.062,43.062,0.9379,1.1315,0.1008,0.580
20260913_joint4_decoder_l2anchor_dense_seed7,box/box,18.176,18.176,0.9471,0.5861,0.1005,1.061
20260913_joint4_decoder_l2anchor_dense_seed7,box/box,66.768,113.232,0.9475,0.6091,0.2078,1.129
20260913_joint4_decoder_l2anchor_dense_seed7,box/box,54.799,54.799,0.9475,0.6236,0.1744,0.347
20260913_joint4_decoder_l2anchor_dense_seed7,box/box,74.253,105.747,0.9554,0.3134,0.2507,0.204
20260913_joint4_decoder_l2anchor_dense_seed7,box/box,23.256,23.256,0.9430,0.7700,0.0589,0.417
20260913_joint4_decoder_l2anchor_dense_seed7,box/box,86.610,93.390,0.9570,0.3388,0.0481,0.378
20260913_joint4_decoder_l2anchor_dense_seed7,box/box,42.031,42.031,0.9441,0.5880,0.1676,0.252
20260913_joint4_decoder_l2anchor_dense_seed7,box/box,44.754,44.754,0.9411,0.7000,0.0430,0.452
20260913_joint4_decoder_l2anchor_dense_seed7,box/box,8.826,8.826,0.9463,0.9068,0.1236,0.842
20260913_joint4_decoder_l2anchor_dense_seed7,box/box,77.976,102.024,0.9561,0.5219,0.1530,0.931
20260913_joint4_decoder_l2anchor_dense_seed7,notebook/notebook,69.831,69.831,0.9511,0.3132,0.0809,0.708
20260913_joint4_decoder_l2anchor_dense_seed7,notebook/notebook,77.255,77.255,0.9465,0.1971,0.0449,0.759
20260913_joint4_decoder_l2anchor_dense_seed7,notebook/notebook,73.081,73.081,0.9443,0.2309,0.0699,0.679
20260913_joint4_decoder_l2anchor_dense_seed7,notebook/notebook,85.879,85.879,0.9422,0.2466,0.0458,0.511
20260913_joint4_decoder_l2anchor_dense_seed7,notebook/notebook,49.836,130.164,0.9346,0.6865,0.3463,0.786
20260913_joint4_decoder_l2anchor_dense_seed7,notebook/notebook,77.749,77.749,0.9486,0.1841,0.0541,0.827
20260913_joint4_decoder_l2anchor_dense_seed7,notebook/notebook,80.925,99.075,0.9538,0.3975,0.2575,1.336
20260913_joint4_decoder_l2anchor_dense_seed7,notebook/notebook,55.509,55.509,0.9506,0.4532,0.0467,0.488
20260913_joint4_decoder_l2anchor_dense_seed7,notebook/notebook,30.993,149.007,0.9582,0.8413,0.2294,0.537
20260913_joint4_decoder_l2anchor_dense_seed7,notebook/notebook,74.010,74.010,0.9528,0.0780,0.0491,0.899
20260913_joint4_decoder_l2anchor_dense_seed7,notebook/notebook,76.575,103.425,0.9478,0.2544,0.2550,1.588
20260913_joint4_decoder_l2anchor_dense_seed7,notebook/notebook,62.315,62.315,0.9494,0.2116,0.0776,0.693
20260913_joint4_decoder_l2anchor_dense_seed7,notebook/notebook,56.118,56.118,0.9420,0.0901,0.0955,0.641
20260913_joint4_decoder_l2anchor_dense_seed7,notebook/notebook,60.573,119.427,0.9370,0.4804,0.3190,1.280
20260913_joint4_decoder_l2anchor_dense_seed7,notebook/notebook,65.131,65.131,0.9515,0.0780,0.0186,0.746
20260913_joint4_decoder_l2anchor_dense_seed7,notebook/notebook,60.599,119.401,0.9519,0.4357,0.2596,1.203
20260913_joint4_decoder_l2anchor_dense_seed7,notebook/notebook,44.526,135.474,0.9526,0.1372,0.0981,0.590
20260913_joint4_decoder_l2anchor_dense_seed7,notebook/notebook,53.934,126.066,0.9573,0.7417,0.2611,0.857
20260913_joint4_decoder_l2anchor_dense_seed7,notebook/notebook,75.231,75.231,0.9486,0.0600,0.0682,0.786
20260913_joint4_decoder_l2anchor_dense_seed7,notebook/notebook,26.970,153.030,0.9510,0.5067,0.2506,0.956
20260913_joint4_decoder_l2anchor_dense_seed7,phone/phone,53.078,126.922,0.9430,0.1626,0.0736,1.584
20260913_joint4_decoder_l2anchor_dense_seed7,phone/phone,24.464,24.464,0.9448,0.6415,0.1279,0.376
20260913_joint4_decoder_l2anchor_dense_seed7,phone/phone,41.797,138.203,0.9389,0.1302,0.1004,1.556
20260913_joint4_decoder_l2anchor_dense_seed7,phone/phone,11.552,11.552,0.9546,0.4219,0.0041,0.842
20260913_joint4_decoder_l2anchor_dense_seed7,phone/phone,53.538,126.462,0.9362,0.5064,0.0008,1.744
