model,object,axis_unsigned_deg,axis_signed_deg,p_rev,radius_m,hinge_offset_frac,z_p,verb,hinge_point_offset_frac
depth,phone/phone,55.649,55.649,0.9573,0.8918,0.1347,0.163,open,0.3881
depth,phone/phone,38.473,38.473,0.9585,0.8295,0.1444,0.560,close,0.1620
depth,phone/phone,30.658,30.658,0.9575,0.4776,0.0792,1.353,open,0.3858
depth,phone/phone,36.282,36.282,0.9626,0.7722,0.0372,0.898,close,0.1473
depth,phone/phone,80.982,80.982,0.9547,0.7097,0.0927,0.675,open,0.0648
depth,phone/phone,43.928,43.928,0.9574,0.4557,0.1689,0.917,close,0.2511
depth,phone/phone,22.712,157.288,0.9471,0.4957,0.0507,1.086,open,0.1005
depth,phone/phone,43.632,43.632,0.9616,0.4237,0.0486,1.384,close,0.1625
depth,phone/phone,36.646,36.646,0.9568,0.8587,0.0905,0.616,open,0.1972
depth,phone/phone,78.628,78.628,0.9457,0.9342,0.2720,1.065,close,0.2912
depth,phone/phone,66.598,66.598,0.9454,0.8810,0.0875,0.882,open,0.3147
depth,phone/phone,34.896,34.896,0.9610,0.4721,0.0115,2.430,close,0.0395
depth,phone/phone,9.348,9.348,0.9469,0.2474,0.1490,1.302,open,0.1414
depth,phone/phone,13.546,13.546,0.9565,0.3541,0.0615,1.405,close,0.0963
depth,phone/phone,56.691,123.309,0.9541,0.9245,0.0273,1.037,open,0.2439
depth,laptop/laptop,15.883,15.883,0.9494,2.4569,0.0195,0.668,open,0.4414
depth,laptop/laptop,41.467,41.467,0.9475,0.8157,0.2740,2.637,close,0.2749
depth,laptop/laptop,85.961,94.039,0.9412,1.5180,0.1987,1.085,close,0.7301
depth,laptop/laptop,50.962,50.962,0.9475,0.9875,0.0520,0.397,open,0.7681
depth,laptop/laptop,30.398,30.398,0.9577,0.7758,0.1538,1.863,close,0.2542
depth,laptop/laptop,23.654,23.654,0.9370,2.1687,0.1214,0.847,open,0.2622
depth,laptop/laptop,46.278,46.278,0.9538,0.8125,0.1963,2.463,close,0.2510
depth,laptop/laptop,19.731,19.731,0.9531,2.2841,0.0341,0.630,open,0.5079
depth,laptop/laptop,14.275,14.275,0.9548,1.2485,0.2468,1.943,close,0.3005
depth,laptop/laptop,20.218,20.218,0.9455,2.9144,0.0900,0.281,open,0.3196
depth,laptop/laptop,34.844,34.844,0.9608,2.0513,0.1754,0.905,open,0.1790
depth,laptop/laptop,64.039,64.039,0.9485,1.3168,0.3113,0.720,close,0.8100
depth,laptop/laptop,13.413,13.413,0.9483,1.4612,0.0063,1.753,open,0.1845
depth,laptop/laptop,34.651,34.651,0.9518,0.8549,0.1782,2.311,close,0.2170
depth,microwave/microwave,81.838,81.838,0.9412,0.4452,0.0278,1.469,open,0.0608
depth,microwave/microwave,68.687,68.687,0.9273,0.5005,0.0789,1.045,close,0.0951
depth,microwave/microwave,89.100,89.100,0.8028,0.4343,0.0094,1.455,open,0.0468
depth,microwave/microwave,69.762,69.762,0.9342,0.4116,0.1079,1.041,close,0.1374
depth,microwave/microwave,73.755,73.755,0.9483,0.5968,0.0812,0.697,close,0.1933
depth,microwave/microwave,79.979,79.979,0.9061,0.6470,0.0146,1.567,open,0.0272
depth,microwave/microwave,57.968,57.968,0.9408,0.7860,0.0154,0.532,close,0.1259
depth,microwave/microwave,68.011,68.011,0.9160,0.3336,0.1011,1.242,open,0.0709
depth,microwave/microwave,63.385,63.385,0.9426,0.5781,0.0997,0.865,close,0.1497
depth,microwave/microwave,13.763,166.237,0.9400,0.0374,0.1272,1.637,open,0.2922
depth,microwave/microwave,82.840,82.840,0.9231,0.2891,0.1029,1.004,close,0.2475
depth,microwave/microwave,85.298,94.702,0.9355,0.3982,0.0482,1.292,open,0.1732
depth,microwave/microwave,51.713,51.713,0.9349,0.5342,0.0879,0.905,close,0.0948
depth,microwave/microwave,89.884,89.884,0.9405,0.3009,0.0154,1.311,open,0.1438
depth,microwave/microwave,68.585,68.585,0.9244,0.6136,0.0616,0.880,close,0.0697
depth,microwave/microwave,76.277,103.723,0.9483,0.4184,0.0444,1.497,open,0.3463
depth,microwave/microwave,74.412,74.412,0.9552,0.7494,0.1212,0.373,close,0.1785
depth,microwave/microwave,77.983,77.983,0.9565,0.4849,0.1092,1.585,open,0.1165
depth,microwave/microwave,21.291,158.709,0.9350,0.4241,0.1223,0.907,close,0.5913
depth,microwave/microwave,74.133,105.867,0.9429,0.4930,0.0568,1.080,close,0.1798
depth,microwave/microwave,81.827,81.827,0.9467,0.5240,0.0124,1.516,open,0.0299
depth,microwave/microwave,67.529,67.529,0.9415,0.7688,0.1104,0.729,close,0.1213
depth,microwave/microwave,71.070,108.930,0.8547,0.3097,0.0426,1.427,open,0.2393
depth,microwave/microwave,68.848,68.848,0.9337,0.6059,0.1160,0.890,close,0.1564
depth,microwave/microwave,80.021,99.979,0.9371,0.3945,0.0368,1.518,open,0.0763
depth,microwave/microwave,89.694,90.306,0.9436,0.5734,0.0657,0.992,close,0.3119
depth,microwave/microwave,88.937,91.063,0.9335,0.4088,0.0174,1.402,open,0.0634
depth,microwave/microwave,63.260,63.260,0.9364,0.6270,0.0106,0.784,close,0.2027
depth,microwave/microwave,86.305,93.695,0.9602,0.2612,0.1884,1.331,open,0.2212
